"service","year","month","rows","status","run_tag","ts_utc","error"
"yellow",2024,4,"3514289","OK","ingesta_20251110_043934","2025-11-10T08:16:05Z",""
"yellow",2024,5,"3723833","OK","ingesta_20251110_043934","2025-11-10T08:17:02Z",""
"yellow",2024,6,"3539193","OK","ingesta_20251110_043934","2025-11-10T08:18:21Z",""
"yellow",2024,7,"3076903","OK","ingesta_20251110_043934","2025-11-10T08:19:24Z",""
"yellow",2024,8,"2979183","OK","ingesta_20251110_043934","2025-11-10T08:20:20Z",""
"yellow",2024,9,"3633030","OK","ingesta_20251110_043934","2025-11-10T08:21:22Z",""
"yellow",2024,10,"3833771","OK","ingesta_20251110_043934","2025-11-10T08:22:15Z",""
"yellow",2024,11,"3646369","OK","ingesta_20251110_043934","2025-11-10T08:23:15Z",""
"yellow",2024,12,"3668371","OK","ingesta_20251110_043934","2025-11-10T08:24:09Z",""
"green",2015,1,"1508493","OK","ingesta_20251110_043934","2025-11-10T08:26:26Z",""
"green",2015,2,"1574830","OK","ingesta_20251110_043934","2025-11-10T08:27:17Z",""
"green",2015,3,"1722574","OK","ingesta_20251110_043934","2025-11-10T08:27:54Z",""
"green",2015,4,"1664394","OK","ingesta_20251110_043934","2025-11-10T08:28:35Z",""
"green",2015,5,"1786848","OK","ingesta_20251110_043934","2025-11-10T08:29:20Z",""
"green",2015,6,"1638868","OK","ingesta_20251110_043934","2025-11-10T08:30:33Z",""
"green",2015,7,"1541671","OK","ingesta_20251110_043934","2025-11-10T08:31:35Z",""
"green",2015,8,"1532343","OK","ingesta_20251110_043934","2025-11-10T08:32:12Z",""
"green",2015,9,"1494927","OK","ingesta_20251110_043934","2025-11-10T08:32:53Z",""
"green",2015,10,"1630536","OK","ingesta_20251110_043934","2025-11-10T08:33:39Z",""
"green",2015,11,"1529984","OK","ingesta_20251110_043934","2025-11-10T08:34:39Z",""
"green",2015,12,"1608297","OK","ingesta_20251110_043934","2025-11-10T08:35:12Z",""
"green",2016,1,"1445292","OK","ingesta_20251110_043934","2025-11-10T08:35:43Z",""
"green",2016,2,"1510722","OK","ingesta_20251110_043934","2025-11-10T08:36:24Z",""
"green",2016,3,"1576393","OK","ingesta_20251110_043934","2025-11-10T08:36:56Z",""
"green",2016,4,"1543926","OK","ingesta_20251110_043934","2025-11-10T08:37:29Z",""
"green",2016,5,"1536979","OK","ingesta_20251110_043934","2025-11-10T08:38:19Z",""
"green",2016,6,"1404727","OK","ingesta_20251110_043934","2025-11-10T08:39:20Z",""
"green",2016,7,"1332510","OK","ingesta_20251110_043934","2025-11-10T08:39:52Z",""
"green",2016,8,"1247675","OK","ingesta_20251110_043934","2025-11-10T08:40:48Z",""
"green",2016,9,"1162373","OK","ingesta_20251110_043934","2025-11-10T08:41:21Z",""
"green",2016,10,"1252572","OK","ingesta_20251110_043934","2025-11-10T08:41:59Z",""
"green",2016,11,"1148214","OK","ingesta_20251110_043934","2025-11-10T08:42:22Z",""
"green",2016,12,"1224158","OK","ingesta_20251110_043934","2025-11-10T08:42:49Z",""
"green",2017,1,"1069565","OK","ingesta_20251110_043934","2025-11-10T08:43:22Z",""
"green",2017,2,"1022313","OK","ingesta_20251110_043934","2025-11-10T08:43:45Z",""
"green",2017,3,"1157827","OK","ingesta_20251110_043934","2025-11-10T08:44:11Z",""
"green",2017,4,"1080844","OK","ingesta_20251110_043934","2025-11-10T08:44:34Z",""
"green",2017,5,"1059463","OK","ingesta_20251110_043934","2025-11-10T08:44:55Z",""
"green",2017,6,"976467","OK","ingesta_20251110_043934","2025-11-10T08:45:16Z",""
"green",2017,7,"914783","OK","ingesta_20251110_043934","2025-11-10T08:45:42Z",""
"green",2017,8,"867407","OK","ingesta_20251110_043934","2025-11-10T08:46:03Z",""
"green",2017,9,"882464","OK","ingesta_20251110_043934","2025-11-10T08:46:22Z",""
"green",2017,10,"925737","OK","ingesta_20251110_043934","2025-11-10T08:46:40Z",""
"green",2017,11,"874173","OK","ingesta_20251110_043934","2025-11-10T08:46:57Z",""
"green",2017,12,"906016","OK","ingesta_20251110_043934","2025-11-10T08:47:16Z",""
"green",2018,1,"792744","OK","ingesta_20251110_043934","2025-11-10T08:47:39Z",""
"green",2018,2,"769197","OK","ingesta_20251110_043934","2025-11-10T08:47:55Z",""
"green",2018,3,"836246","OK","ingesta_20251110_043934","2025-11-10T08:48:13Z",""
"green",2018,4,"799383","OK","ingesta_20251110_043934","2025-11-10T08:48:30Z",""
"green",2018,5,"796552","OK","ingesta_20251110_043934","2025-11-10T08:48:46Z",""
"green",2018,6,"738546","OK","ingesta_20251110_043934","2025-11-10T08:49:13Z",""
"green",2018,7,"684374","OK","ingesta_20251110_043934","2025-11-10T08:49:28Z",""
"green",2018,8,"675815","OK","ingesta_20251110_043934","2025-11-10T08:49:47Z",""
